Zip,Year,MedianValue
21053,2008,401060.03435050347
21053,2009,374452.31802042853
21053,2010,367776.38638703746
21053,2011,331627.36008468934
21053,2012,337383.5451733942
21053,2013,354018.35569137515
21053,2014,363759.48818287626
21053,2015,377237.56678999175
21053,2016,381703.5022465815
21053,2017,394444.24743340665
21053,2018,403025.8864631491
21053,2019,414007.14222995297
21053,2020,422398.42124660534
21053,2021,490095.46895430796
21053,2022,512881.4851545653
21053,2023,525113.0801662442
21053,2024,542415.8307178153
21053,2025,551555.7744733109
21057,2000,255605.10783183636
21057,2001,274858.1834088663
21057,2002,295951.4666608782
21057,2003,341980.5243071463
21057,2004,391796.4945807484
21057,2005,458767.95023236796
21057,2006,517371.3486404532
21057,2007,519936.6983070447
21057,2008,475809.6902216713
21057,2009,431914.5586286453
21057,2010,419639.1555235787
21057,2011,394896.30584591127
21057,2012,395639.09290014347
21057,2013,400400.49729103455
21057,2014,423301.1791395149
21057,2015,430264.48859011155
21057,2016,437629.43334258103
21057,2017,448425.74417243665
21057,2018,457622.09736302355
21057,2019,467579.9152737784
21057,2020,479345.982060685
21057,2021,543401.58016523
21057,2022,577145.2305099509
21057,2023,596455.9882130895
21057,2024,615412.0709290502
21057,2025,629236.6147236518
21071,2000,
21071,2001,
21071,2002,
21071,2003,
21071,2004,
21071,2005,
21071,2006,
21071,2007,
21071,2008,
21071,2009,
21071,2010,
21071,2011,
21071,2012,
21071,2013,
21071,2014,
21071,2015,
21071,2016,
21071,2017,
21071,2018,
21071,2019,
21071,2020,
21071,2021,
21071,2022,464419.532461669
21071,2023,482528.1520365804
21071,2024,495090.7467113993
21071,2025,498888.00000950735
21082,2000,245131.13168366565
21082,2001,262635.9827284874
21082,2002,279203.82572162664
21082,2003,319086.1614293199
21082,2004,379683.3840438154
21082,2005,437784.40273360873
21082,2006,491437.68338780804
21082,2007,503246.66950919345
21082,2008,465543.2556472528
21082,2009,414536.13981535
21082,2010,401906.3010271611
21082,2011,379260.33938092017
21082,2012,376040.4526896251
21082,2013,391567.59693080373
21082,2014,408872.10401861777
21082,2015,420353.4048658422
21082,2016,431068.9015191408
21082,2017,436113.90011506807
21082,2018,437233.1884622849
21082,2019,441177.2815073218
21082,2020,452214.1338075032
21082,2021,509369.65160464164
21082,2022,530678.1762930128
21082,2023,536957.9101188305
21082,2024,547999.5319073838
21082,2025,559931.9389091603
21087,2000,227209.46479242638
21087,2001,243067.46178501123
21087,2002,254841.38728961602
21087,2003,294755.2077332277
21087,2004,347305.8163532532
21087,2005,405518.95246707625
21087,2006,454991.07290236105
21087,2007,456018.0943376516
21087,2008,429482.7063154832
21087,2009,390128.9327863398
21087,2010,376057.1663457262
21087,2011,357508.09779014473
21087,2012,345927.70307335036
21087,2013,355727.51063911314
21087,2014,368367.2986228445
21087,2015,375204.1965959546
21087,2016,380924.72152140667
21087,2017,387243.6726738297
21087,2018,393857.77085883496
21087,2019,405026.79996327386
21087,2020,413586.78119964
21087,2021,466382.3951599428
21087,2022,494207.6062386383
21087,2023,510514.0093777387
21087,2024,520152.3630749589
21087,2025,531142.7528845537
21093,2000,197452.42896650248
21093,2001,207516.6099419647
21093,2002,228303.40845627565
21093,2003,256323.98637204996
21093,2004,298026.76119313505
21093,2005,353891.8744971653
21093,2006,394880.1700465114
